SubDirectory,file_name,image_hash,fold
Type_2,5141.jpg,0888,0
Type_2,4742.jpg,0888,0
Type_3,3769.jpg,0888,0
Type_2,4421.jpg,0888,0
Type_3,3557.jpg,0888,0
Type_2,4083.jpg,088c,0
Type_2,2069.jpg,0890,0
train/Type_2,1185.jpg,0894,0
train/Type_3,747.jpg,0894,0
Type_1,3987.jpg,0894,0
Type_1,3988.jpg,0894,0
Type_2,4236.jpg,0894,0
train/Type_2,1098.jpg,0898,0
Type_3,2563.jpg,08a3,0
Type_1,1311.jpg,08a6,0
train/Type_2,1010.jpg,08a8,0
Type_2,2938.jpg,08a8,0
Type_1,3414.jpg,08b1,0
train/Type_2,448.jpg,08b6,0
Type_3,5651.jpg,08c0,0
Type_3,5153.jpg,08c0,0
Type_3,5565.jpg,08c0,0
Type_3,5154.jpg,08c0,0
Type_2,6219.jpg,08c0,0
Type_2,361.jpg,08c0,0
Type_2,5861.jpg,08c2,0
Type_1,5882.jpg,08c6,0
Type_2,1384.jpg,08c7,0
Type_2,4974.jpg,08c8,0
train/Type_2,246.jpg,08c8,0
Type_2,5135.jpg,08c8,0
Type_3,4995.jpg,08c8,0
Type_2,5138.jpg,08c8,0
train/Type_3,598.jpg,08c9,0
Type_2,4595.jpg,08d0,0
Type_2,5031.jpg,092e,0
Type_2,6767.jpg,0932,0
Type_3,927.jpg,0974,0
Type_2,2816.jpg,0980,0
train/Type_1,887.jpg,09b9,0
Type_2,2482.jpg,09d4,0
Type_2,6443.jpg,0a88,0
Type_1,2103.jpg,0ac0,0
Type_1,157.jpg,0ac0,0
Type_1,1885.jpg,0ac0,0
Type_2,543.jpg,0acc,0
Type_2,1033.jpg,0ae2,0
Type_2,3711.jpg,0b80,0
train/Type_2,1238.jpg,0c0c,0
Type_2,2792.jpg,0c11,0
train/Type_1,580.jpg,0c72,0
Type_1,6784.jpg,0c72,0
Type_3,1948.jpg,0c77,0
Type_2,4568.jpg,0c80,0
Type_2,6841.jpg,0c80,0
Type_2,3364.jpg,0c80,0
Type_3,5152.jpg,0c80,0
train/Type_1,582.jpg,0c80,0
Type_2,6600.jpg,0c80,0
Type_3,5944.jpg,0c80,0
Type_2,4155.jpg,0c80,0
Type_3,5312.jpg,0c81,0
Type_3,5329.jpg,0c82,0
Type_2,1424.jpg,0c83,0
Type_2,2870.jpg,0c83,0
train/Type_3,1256.jpg,0c88,0
Type_2,4496.jpg,0c99,0
Type_2,5193.jpg,0ca2,0
Type_1,6783.jpg,0cb2,0
Type_1,6782.jpg,0cb2,0
Type_3,6439.jpg,0cba,0
Type_3,3579.jpg,0cc0,0
Type_3,5873.jpg,0cc0,0
Type_2,6601.jpg,0cc0,0
Type_3,5454.jpg,0cc0,0
Type_3,5234.jpg,0cc0,0
Type_3,5155.jpg,0cc0,0
train/Type_2,597.jpg,0cc0,0
Type_3,303.jpg,0cc1,0
Type_3,2626.jpg,0cc1,0
Type_3,700.jpg,0cc1,0
Type_1,5883.jpg,0cc2,0
Type_2,1171.jpg,0cc2,0
Type_3,2751.jpg,0cc2,0
Type_2,3969.jpg,0cc2,0
train/Type_3,143.jpg,0cc4,0
Type_2,3161.jpg,0cc4,0
Type_2,5131.jpg,0cc6,0
Type_3,5875.jpg,0cc6,0
Type_2,5797.jpg,0cc8,0
Type_2,5796.jpg,0cc8,0
Type_1,2418.jpg,0cc8,0
Type_3,6145.jpg,0cc8,0
train/Type_2,538.jpg,0cca,0
Type_3,2787.jpg,0cca,0
train/Type_2,894.jpg,0ccc,0
Type_2,3357.jpg,0ccd,0
Type_3,205.jpg,0ce0,0
Type_3,110.jpg,0ce3,0
Type_2,435.jpg,0cec,0
Type_3,3736.jpg,0cf1,0
train/Type_2,1148.jpg,0d53,0
Type_3,2303.jpg,0d7f,0
train/Type_2,354.jpg,0da8,0
train/Type_2,501.jpg,0e11,0
Type_2,2315.jpg,0e19,0
Type_2,398.jpg,0e73,0
Type_2,2456.jpg,0e79,0
Type_3,5344.jpg,0e81,0
Type_2,5389.jpg,0ec1,0
train/Type_2,760.jpg,0ec3,0
Type_2,6493.jpg,0eca,0
train/Type_3,530.jpg,0ee9,0
Type_3,2327.jpg,0f02,0
Type_2,4910.jpg,1002,0
train/Type_2,1264.jpg,1008,0
Type_2,4051.jpg,1032,0
Type_1,6898.jpg,1069,0
Type_2,3502.jpg,106f,0
Type_2,4055.jpg,10b1,0
Type_2,4052.jpg,10b2,0
Type_2,6457.jpg,10f3,0
Type_2,6459.jpg,10ff,0
Type_2,2162.jpg,1111,0
Type_1,632.jpg,1111,0
train/Type_3,1400.jpg,1111,0
train/Type_2,1138.jpg,1113,0
Type_2,805.jpg,1121,0
Type_2,3256.jpg,1133,0
Type_1,6625.jpg,1137,0
Type_3,6730.jpg,1141,0
Type_2,4897.jpg,1142,0
Type_3,3934.jpg,114c,0
Type_2,6819.jpg,1155,0
train/Type_1,1456.jpg,1173,0
Type_1,6624.jpg,1177,0
Type_1,2184.jpg,1183,0
Type_1,2476.jpg,11b3,0
Type_3,806.jpg,11cc,0
Type_2,3750.jpg,11cc,0
Type_3,5289.jpg,11d5,0
Type_2,6456.jpg,11ff,0
train/Type_2,896.jpg,11ff,0
Type_3,2322.jpg,1231,0
train/Type_2,93.jpg,1233,0
train/Type_1,218.jpg,1251,0
train/Type_1,977.jpg,1263,0
Type_1,5098.jpg,1279,0
train/Type_1,764.jpg,1282,0
Type_1,6653.jpg,1288,0
Type_2,617.jpg,1289,0
train/Type_2,681.jpg,12a5,0
Type_3,945.jpg,1301,0
Type_2,2801.jpg,1304,0
Type_2,2712.jpg,1313,0
Type_2,539.jpg,1315,0
Type_2,981.jpg,1323,0
Type_3,5052.jpg,132b,0
Type_2,3772.jpg,1331,0
Type_3,1308.jpg,1331,0
Type_2,6736.jpg,1333,0
Type_2,1336.jpg,1333,0
Type_2,2217.jpg,1333,0
Type_3,5033.jpg,1333,0
train/Type_2,378.jpg,1333,0
train/Type_3,1129.jpg,1363,0
Type_1,6374.jpg,1368,0
Type_2,2444.jpg,1371,0
Type_2,695.jpg,1375,0
train/Type_2,1266.jpg,1378,0
Type_3,455.jpg,1391,0
Type_3,2900.jpg,13b1,0
Type_3,2848.jpg,13b3,0
Type_1,230.jpg,13b3,0
Type_3,5044.jpg,13c3,0
Type_3,5291.jpg,13d5,0
Type_3,3284.jpg,13f5,0
Type_2,6671.jpg,1401,0
Type_2,6672.jpg,1401,0
Type_2,6670.jpg,1401,0
Type_1,1493.jpg,1413,0
Type_1,2093.jpg,1433,0
Type_2,170.jpg,1433,0
train/Type_1,523.jpg,14b1,0
Type_1,4065.jpg,14fd,0
Type_3,4993.jpg,1513,0
Type_3,2443.jpg,1531,0
Type_2,3739.jpg,1535,0
Type_2,1463.jpg,1623,0
Type_1,6390.jpg,1625,0
Type_2,1514.jpg,16aa,0
Type_1,3857.jpg,16ed,0
Type_1,1801.jpg,1723,0
Type_3,2606.jpg,1751,0
Type_1,4908.jpg,1763,0
Type_2,6553.jpg,176b,0
train/Type_2,312.jpg,176d,0
Type_3,3122.jpg,1771,0
train/Type_2,1358.jpg,17b8,0
Type_2,2952.jpg,17d1,0
Type_3,3390.jpg,1800,0
Type_1,2546.jpg,1801,0
Type_2,552.jpg,1807,0
Type_3,5013.jpg,180c,0
Type_2,1919.jpg,1810,0
Type_3,5089.jpg,1811,0
Type_1,5788.jpg,1821,0
Type_2,1109.jpg,1823,0
train/Type_1,138.jpg,1828,0
Type_2,3572.jpg,1873,0
Type_2,3680.jpg,1877,0
Type_3,3166.jpg,1880,0
Type_2,3396.jpg,1889,0
Type_2,6887.jpg,188e,0
Type_3,2295.jpg,18a3,0
Type_1,2161.jpg,18b1,0
Type_3,2665.jpg,18b1,0
Type_3,5292.jpg,18b3,0
Type_2,5862.jpg,18c2,0
Type_2,4212.jpg,18c8,0
Type_2,4211.jpg,18cc,0
Type_3,2058.jpg,18e3,0
Type_2,471.jpg,1917,0
Type_2,2752.jpg,1923,0
train/Type_1,917.jpg,1933,0
Type_3,2467.jpg,1941,0
train/Type_3,352.jpg,1999,0
Type_3,1618.jpg,19a8,0
Type_1,731.jpg,19ac,0
Type_1,3875.jpg,19ac,0
train/Type_1,1139.jpg,19ac,0
Type_1,10.jpg,19ac,0
Type_1,1995.jpg,19ae,0
train/Type_2,503.jpg,19ed,0
Type_3,6012.jpg,1a67,0
Type_1,4193.jpg,1aab,0
Type_1,1143.jpg,1ab3,0
Type_3,5298.jpg,1ac1,0
Type_3,1102.jpg,1ac3,0
Type_3,5702.jpg,1ac8,0
Type_3,3531.jpg,1ac9,0
train/Type_3,30.jpg,1acb,0
Type_2,4346.jpg,1aee,0
Type_2,6515.jpg,1af3,0
Type_1,6862.jpg,1b11,0
Type_3,57.jpg,1b21,0
Type_2,3828.jpg,1b23,0
Type_3,195.jpg,1b25,0
Type_1,2749.jpg,1b33,0
Type_1,3935.jpg,1b33,0
Type_2,6744.jpg,1b33,0
Type_3,739.jpg,1b34,0
Type_2,3399.jpg,1b80,0
Type_1,3374.jpg,1b99,0
Type_2,4898.jpg,1b99,0
Type_1,817.jpg,1bfb,0
Type_3,1371.jpg,1c01,0
Type_3,6726.jpg,1c15,0
train/Type_1,384.jpg,1c33,0
Type_1,2009.jpg,1c33,0
Type_2,5059.jpg,1c54,0
Type_3,4926.jpg,1c7f,0
train/Type_2,493.jpg,1c80,0
Type_2,5223.jpg,1c81,0
Type_2,629.jpg,1c81,0
Type_3,6680.jpg,1c89,0
Type_3,1996.jpg,1c89,0
train/Type_3,664.jpg,1ca1,0
Type_3,2247.jpg,1ca3,0
Type_3,1812.jpg,1ca3,0
train/Type_1,281.jpg,1cb1,0
Type_1,164.jpg,1cb1,0
train/Type_1,732.jpg,1cb1,0
Type_3,5453.jpg,1cc0,0
train/Type_3,1086.jpg,1cc0,0
Type_3,5235.jpg,1cc0,0
train/Type_2,1338.jpg,1cc1,0
Type_2,4269.jpg,1cc1,0
Type_2,1355.jpg,1cc1,0
train/Type_3,1300.jpg,1cc1,0
Type_1,5360.jpg,1cc1,0
Type_2,5863.jpg,1cc2,0
Type_3,5477.jpg,1cc3,0
Type_2,5250.jpg,1cc3,0
Type_3,4286.jpg,1cc3,0
Type_2,1035.jpg,1cc3,0
Type_1,5411.jpg,1cc3,0
Type_1,6436.jpg,1cc3,0
Type_3,4815.jpg,1cc3,0
Type_2,3763.jpg,1cc3,0
Type_2,4184.jpg,1cc5,0
Type_3,6347.jpg,1cc7,0
Type_2,4201.jpg,1cc7,0
Type_3,5322.jpg,1cc9,0
Type_2,4270.jpg,1cc9,0
Type_2,16.jpg,1ccf,0
Type_2,1079.jpg,1ccf,0
Type_3,3262.jpg,1ce1,0
Type_3,1270.jpg,1ce3,0
Type_2,6871.jpg,1d00,0
Type_1,718.jpg,1d33,0
Type_3,5080.jpg,1d35,0
Type_2,4920.jpg,1d41,0
train/Type_3,631.jpg,1d7c,0
train/Type_2,1142.jpg,1d83,0
Type_2,562.jpg,1d8c,0
Type_1,23.jpg,1d91,0
Type_3,4998.jpg,1da1,0
train/Type_2,915.jpg,1dd7,0
Type_2,180.jpg,1e15,0
Type_3,3397.jpg,1e53,0
Type_3,5581.jpg,1ec1,0
Type_2,1962.jpg,1ec1,0
Type_3,5321.jpg,1ec1,0
Type_2,2405.jpg,1ec9,0
Type_3,1271.jpg,1ee3,0
train/Type_1,484.jpg,1f9c,0
Type_2,6405.jpg,1fc3,0
Type_2,6408.jpg,1fe3,0
Type_2,6410.jpg,1fe3,0
Type_2,2661.jpg,2000,0
Type_2,6121.jpg,2002,0
train/Type_2,159.jpg,2013,0
Type_2,2640.jpg,2031,0
train/Type_2,74.jpg,2031,0
Type_2,2455.jpg,2033,0
Type_2,3851.jpg,2038,0
Type_3,6910.jpg,2038,0
Type_2,1823.jpg,2038,0
Type_2,4090.jpg,2040,0
Type_3,4332.jpg,2077,0
Type_2,985.jpg,2080,0
Type_3,6438.jpg,208a,0
Type_2,2947.jpg,208a,0
train/Type_3,1162.jpg,2097,0
Type_3,2178.jpg,20c2,0
train/Type_3,910.jpg,20c6,0
Type_2,2673.jpg,2102,0
Type_2,4096.jpg,2108,0
train/Type_2,922.jpg,210b,0
Type_2,3203.jpg,2133,0
Type_2,2379.jpg,2133,0
train/Type_1,1014.jpg,2171,0
Type_2,3367.jpg,217f,0
Type_2,3770.jpg,21b3,0
Type_3,4756.jpg,21bb,0
Type_2,799.jpg,21c5,0
Type_2,1557.jpg,21c5,0
Type_2,7.jpg,21d5,0
Type_2,1391.jpg,21e5,0
Type_2,1302.jpg,21e6,0
Type_3,478.jpg,2202,0
Type_2,4235.jpg,2262,0
Type_2,3509.jpg,2266,0
Type_2,1879.jpg,2271,0
Type_1,2362.jpg,2280,0
Type_3,6703.jpg,2288,0
Type_3,2913.jpg,2290,0
Type_1,2239.jpg,22a6,0
Type_2,2975.jpg,22bc,0
Type_2,1543.jpg,22bc,0
Type_2,1908.jpg,22c6,0
Type_2,5086.jpg,22ca,0
Type_2,6375.jpg,22d8,0
train/Type_2,1426.jpg,22dd,0
Type_1,1005.jpg,22f3,0
Type_3,6839.jpg,2301,0
train/Type_3,380.jpg,2308,0
Type_1,6867.jpg,233c,0
Type_2,735.jpg,2379,0
Type_2,870.jpg,23a8,0
Type_2,3143.jpg,23ab,0
Type_1,311.jpg,23e6,0
Type_1,723.jpg,23e6,0
Type_3,216.jpg,246f,0
Type_2,4056.jpg,2471,0
train/Type_1,623.jpg,2473,0
Type_3,3613.jpg,247b,0
Type_3,1386.jpg,2488,0
Type_3,3469.jpg,2492,0
Type_3,2625.jpg,24c1,0
Type_2,1430.jpg,24dc,0
Type_3,1870.jpg,2533,0
Type_1,28.jpg,2539,0
Type_2,919.jpg,2560,0
train/Type_2,1315.jpg,2631,0
train/Type_3,823.jpg,2633,0
Type_2,4561.jpg,2642,0
Type_2,396.jpg,2651,0
Type_3,6557.jpg,2662,0
Type_1,3931.jpg,2683,0
Type_2,4449.jpg,26e0,0
train/Type_2,665.jpg,26e1,0
Type_3,2144.jpg,26ee,0
train/Type_2,1381.jpg,26f0,0
Type_3,388.jpg,2766,0
train/Type_3,20.jpg,276e,0
Type_2,1815.jpg,2800,0
Type_3,4533.jpg,2802,0
Type_3,2716.jpg,281b,0
Type_2,2651.jpg,2822,0
Type_3,3105.jpg,2830,0
Type_1,1626.jpg,2832,0
Type_2,1478.jpg,2833,0
Type_3,4989.jpg,2835,0
Type_1,3191.jpg,2836,0
Type_3,6836.jpg,2836,0
train/Type_1,497.jpg,283d,0
Type_2,446.jpg,2873,0
Type_3,4240.jpg,2880,0
Type_2,5999.jpg,2880,0
Type_2,4347.jpg,2881,0
Type_1,608.jpg,2882,0
Type_1,1730.jpg,2882,0
Type_2,5756.jpg,2883,0
Type_2,203.jpg,288a,0
Type_2,4146.jpg,288a,0
Type_2,46.jpg,288a,0
Type_3,5590.jpg,288c,0
Type_3,5635.jpg,2891,0
train/Type_1,201.jpg,2893,0
train/Type_2,359.jpg,289b,0
Type_3,5391.jpg,28a2,0
Type_3,4115.jpg,28a2,0
Type_2,3358.jpg,28a6,0
Type_2,2520.jpg,28a6,0
Type_3,2122.jpg,28a6,0
Type_2,2955.jpg,28a6,0
Type_3,4116.jpg,28aa,0
Type_2,3958.jpg,28b6,0
Type_3,383.jpg,28b8,0
Type_1,2811.jpg,28c0,0
Type_3,5392.jpg,28c2,0
train/Type_2,1006.jpg,28c2,0
Type_2,5864.jpg,28c2,0
Type_2,6583.jpg,28c3,0
Type_2,5136.jpg,28c4,0
Type_3,6231.jpg,28c6,0
Type_2,5142.jpg,28c8,0
train/Type_2,577.jpg,28c9,0
Type_1,5811.jpg,28ca,0
Type_1,246.jpg,28ca,0
Type_3,5000.jpg,28d0,0
Type_1,1242.jpg,28d4,0
train/Type_2,1262.jpg,28d5,0
Type_2,422.jpg,28d7,0
train/Type_3,735.jpg,28e6,0
Type_2,3773.jpg,28e6,0
Type_2,6891.jpg,28ea,0
train/Type_2,410.jpg,28ea,0
Type_2,6892.jpg,28ea,0
train/Type_2,1068.jpg,28f6,0
Type_2,6738.jpg,28fb,0
train/Type_2,1433.jpg,2933,0
Type_2,6534.jpg,2938,0
Type_2,1833.jpg,2996,0
Type_3,5691.jpg,29a2,0
Type_2,6754.jpg,29d9,0
Type_2,6753.jpg,29d9,0
Type_2,2497.jpg,2a2a,0
Type_3,5043.jpg,2a36,0
Type_3,3218.jpg,2a50,0
Type_2,6588.jpg,2a62,0
Type_2,6587.jpg,2a62,0
train/Type_2,505.jpg,2a62,0
Type_2,6381.jpg,2a69,0
Type_1,1562.jpg,2a7c,0
Type_1,3452.jpg,2a80,0
Type_1,2340.jpg,2a82,0
Type_2,4562.jpg,2a8a,0
Type_3,5063.jpg,2a90,0
Type_2,3624.jpg,2a93,0
Type_3,5709.jpg,2a99,0
Type_3,4124.jpg,2a99,0
Type_3,1287.jpg,2aa2,0
Type_2,3287.jpg,2aa3,0
Type_2,1593.jpg,2aaa,0
train/Type_1,1059.jpg,2ac0,0
Type_1,6864.jpg,2ac6,0
Type_2,4281.jpg,2ac6,0
Type_2,4282.jpg,2ac7,0
Type_3,5522.jpg,2acc,0
Type_2,2974.jpg,2ad2,0
Type_2,4596.jpg,2ae2,0
Type_3,4114.jpg,2aea,0
Type_2,231.jpg,2b33,0
Type_2,3476.jpg,2b34,0
Type_2,5540.jpg,2b36,0
Type_1,6866.jpg,2b8e,0
Type_2,3511.jpg,2baa,0
Type_1,2210.jpg,2bd6,0
Type_1,1746.jpg,2be6,0
Type_2,4495.jpg,2c00,0
Type_2,5621.jpg,2c00,0
Type_2,1925.jpg,2c02,0
train/Type_2,1109.jpg,2c02,0
Type_2,4794.jpg,2c03,0
Type_3,5064.jpg,2c10,0
Type_2,6252.jpg,2c22,0
Type_3,1907.jpg,2c26,0
Type_3,6743.jpg,2c27,0
Type_2,570.jpg,2c2a,0
Type_2,2529.jpg,2c30,0
train/Type_2,1169.jpg,2c33,0
Type_2,2980.jpg,2c33,0
Type_2,2944.jpg,2c37,0
Type_1,3860.jpg,2c3b,0
train/Type_2,786.jpg,2c44,0
Type_2,3213.jpg,2c4d,0
Type_1,4474.jpg,2c52,0
Type_2,165.jpg,2c5e,0
Type_1,2825.jpg,2c66,0
Type_3,1529.jpg,2c6e,0
Type_2,1002.jpg,2c6e,0
Type_2,3676.jpg,2c82,0
train/Type_2,483.jpg,2c82,0
Type_2,3738.jpg,2c82,0
Type_2,3462.jpg,2c82,0
Type_2,2851.jpg,2c83,0
Type_3,5523.jpg,2c88,0
train/Type_3,111.jpg,2c88,0
Type_1,4691.jpg,2c88,0
Type_2,4559.jpg,2c89,0
Type_2,4839.jpg,2c89,0
Type_2,4243.jpg,2c8a,0
Type_2,357.jpg,2c8c,0
Type_3,2143.jpg,2c8e,0
Type_2,4546.jpg,2ca2,0
Type_2,4664.jpg,2ca3,0
Type_1,6366.jpg,2ca5,0
Type_2,4127.jpg,2cae,0
Type_2,2704.jpg,2cbc,0
Type_3,5735.jpg,2cc0,0
Type_3,6159.jpg,2cc0,0
Type_2,3121.jpg,2cc0,0
Type_2,2942.jpg,2cc1,0
Type_2,783.jpg,2cc2,0
Type_3,5521.jpg,2cc2,0
Type_2,6848.jpg,2cc2,0
Type_2,5624.jpg,2cc2,0
train/Type_2,813.jpg,2cc2,0
Type_2,6555.jpg,2cc2,0
Type_3,5564.jpg,2cc2,0
Type_2,3635.jpg,2cc2,0
Type_3,5553.jpg,2cc2,0
Type_1,6418.jpg,2cc2,0
Type_3,5508.jpg,2cc2,0
Type_3,5733.jpg,2cc2,0
Type_2,5597.jpg,2cc3,0
Type_3,5504.jpg,2cc3,0
train/Type_1,1346.jpg,2cc3,0
Type_2,182.jpg,2cc3,0
Type_3,5550.jpg,2cc3,0
Type_3,2776.jpg,2cc3,0
Type_3,5403.jpg,2cc3,0
Type_3,5552.jpg,2cc3,0
Type_3,5503.jpg,2cc3,0
train/Type_3,63.jpg,2cc5,0
Type_2,2332.jpg,2cc6,0
Type_2,4619.jpg,2cc6,0
Type_3,5509.jpg,2cc6,0
Type_2,5866.jpg,2cc6,0
Type_2,1545.jpg,2cc6,0
train/Type_2,89.jpg,2cc6,0
Type_3,4302.jpg,2cc8,0
train/Type_1,267.jpg,2cc8,0
Type_1,6361.jpg,2cc8,0
Type_2,4299.jpg,2cc9,0
Type_3,6146.jpg,2cca,0
Type_3,2308.jpg,2cca,0
Type_1,1133.jpg,2cca,0
Type_2,2442.jpg,2ccb,0
train/Type_3,520.jpg,2ccc,0
Type_1,1774.jpg,2cd8,0
Type_2,299.jpg,2cdd,0
Type_1,3817.jpg,2cde,0
Type_2,721.jpg,2cde,0
Type_2,3869.jpg,2cdf,0
train/Type_2,1005.jpg,2ce2,0
Type_3,5203.jpg,2ce3,0
Type_2,2330.jpg,2ce3,0
train/Type_3,1448.jpg,2ce6,0
Type_2,4633.jpg,2ce6,0
Type_3,4009.jpg,2cea,0
Type_3,4010.jpg,2cea,0
Type_3,1289.jpg,2cec,0
Type_3,3453.jpg,2dc3,0
Type_3,2836.jpg,2dc3,0
Type_2,495.jpg,2dc6,0
Type_3,3779.jpg,2de3,0
Type_1,2905.jpg,2de3,0
Type_1,1278.jpg,2de3,0
Type_2,6838.jpg,2e12,0
Type_2,1482.jpg,2e32,0
train/Type_1,605.jpg,2e35,0
Type_2,657.jpg,2e41,0
train/Type_1,920.jpg,2e46,0
Type_2,1963.jpg,2e80,0
Type_2,5536.jpg,2e81,0
Type_2,5669.jpg,2e81,0
Type_3,3040.jpg,2e83,0
Type_2,5195.jpg,2e88,0
Type_2,2636.jpg,2e9a,0
Type_2,5535.jpg,2ea1,0
Type_2,5368.jpg,2ea2,0
Type_1,4338.jpg,2eaa,0
Type_2,6770.jpg,2eb3,0
Type_3,4126.jpg,2ec0,0
Type_2,551.jpg,2ec1,0
Type_1,4685.jpg,2ec6,0
Type_1,5188.jpg,2ec7,0
Type_2,1710.jpg,2ec8,0
Type_2,3037.jpg,2ec8,0
Type_3,4318.jpg,2ec9,0
Type_2,4298.jpg,2ec9,0
Type_2,5496.jpg,2eca,0
Type_3,5732.jpg,2ecc,0
Type_2,795.jpg,2ece,0
Type_1,994.jpg,2ece,0
Type_3,1868.jpg,2eeb,0
Type_2,5016.jpg,2f76,0
Type_1,2554.jpg,3001,0
Type_2,2426.jpg,3003,0
Type_1,3834.jpg,3003,0
Type_2,3297.jpg,3011,0
Type_2,6382.jpg,3026,0
Type_2,163.jpg,3033,0
Type_2,2416.jpg,3033,0
Type_2,1979.jpg,3043,0
Type_2,1448.jpg,3070,0
Type_2,512.jpg,3077,0
Type_2,1572.jpg,3077,0
Type_2,6729.jpg,3080,0
Type_3,6778.jpg,30de,0
Type_2,6579.jpg,3111,0
train/Type_2,1118.jpg,3113,0
Type_2,1352.jpg,311b,0
Type_1,1736.jpg,3123,0
Type_1,2929.jpg,3123,0
Type_1,1104.jpg,3123,0
Type_2,3606.jpg,3131,0
Type_3,5057.jpg,3132,0
Type_3,1484.jpg,3133,0
train/Type_1,918.jpg,3133,0
Type_2,588.jpg,3133,0
Type_2,1961.jpg,3133,0
Type_2,300.jpg,3133,0
Type_1,6051.jpg,3147,0
train/Type_2,210.jpg,314f,0
Type_2,2611.jpg,3177,0
Type_3,6657.jpg,3180,0
Type_2,627.jpg,3186,0
Type_2,4092.jpg,3198,0
Type_1,6547.jpg,31b3,0
Type_2,6343.jpg,31bf,0
Type_1,4903.jpg,31cf,0
Type_2,6869.jpg,31e7,0
Type_2,6868.jpg,31e7,0
Type_2,6458.jpg,31ff,0
train/Type_1,81.jpg,3202,0
Type_2,3532.jpg,3211,0
train/Type_2,92.jpg,3213,0
Type_2,903.jpg,3213,0
Type_2,777.jpg,3213,0
Type_2,591.jpg,3213,0
Type_1,1526.jpg,3217,0
Type_3,5050.jpg,321a,0
Type_1,675.jpg,3223,0
Type_1,4049.jpg,322b,0
Type_2,4228.jpg,3231,0
Type_1,1455.jpg,3233,0
Type_1,3023.jpg,3233,0
Type_2,6514.jpg,3233,0
train/Type_2,548.jpg,3233,0
train/Type_2,255.jpg,3237,0
Type_2,5093.jpg,323c,0
Type_1,2246.jpg,3243,0
Type_2,119.jpg,3246,0
Type_1,475.jpg,3263,0
Type_1,1800.jpg,3263,0
Type_3,2087.jpg,3266,0
Type_2,1902.jpg,3271,0
Type_1,6895.jpg,3280,0
Type_1,6654.jpg,3281,0
Type_1,3362.jpg,3283,0
Type_3,511.jpg,3286,0
Type_1,417.jpg,328b,0
Type_3,2186.jpg,3291,0
Type_3,1300.jpg,3293,0
Type_3,6805.jpg,3297,0
Type_1,2842.jpg,329b,0
Type_1,3587.jpg,32a3,0
Type_1,6785.jpg,32c2,0
Type_1,2789.jpg,32c3,0
